date,week,isHoliday
20230101,Sunday,TRUE
20230102,Monday,TRUE
20230103,Tuesday,FALSE
20230104,Wednesday,FALSE
20230105,Thursday,FALSE
20230106,Friday,FALSE
20230107,Saturday,FALSE
20230108,Sunday,TRUE
20230109,Monday,FALSE
20230110,Tuesday,FALSE
20230111,Wednesday,FALSE
20230112,Thursday,FALSE
20230113,Friday,FALSE
20230114,Saturday,TRUE
20230115,Sunday,TRUE
20230116,Monday,FALSE
20230117,Tuesday,FALSE
20230118,Wednesday,FALSE
20230119,Thursday,FALSE
20230120,Friday,TRUE
20230121,Saturday,TRUE
20230122,Sunday,TRUE
20230123,Monday,TRUE
20230124,Tuesday,TRUE
20230125,Wednesday,TRUE
20230126,Thursday,TRUE
20230127,Friday,TRUE
20230128,Saturday,TRUE
20230129,Sunday,TRUE
20230130,Monday,FALSE
20230131,Tuesday,FALSE
20230201,Wednesday,FALSE
20230202,Thursday,FALSE
20230203,Friday,FALSE
20230204,Saturday,FALSE
20230205,Sunday,TRUE
20230206,Monday,FALSE
20230207,Tuesday,FALSE
20230208,Wednesday,FALSE
20230209,Thursday,FALSE
20230210,Friday,FALSE
20230211,Saturday,TRUE
20230212,Sunday,TRUE
20230213,Monday,FALSE
20230214,Tuesday,FALSE
20230215,Wednesday,FALSE
20230216,Thursday,FALSE
20230217,Friday,FALSE
20230218,Saturday,FALSE
20230219,Sunday,TRUE
20230220,Monday,FALSE
20230221,Tuesday,FALSE
20230222,Wednesday,FALSE
20230223,Thursday,FALSE
20230224,Friday,FALSE
20230225,Saturday,TRUE
20230226,Sunday,TRUE
20230227,Monday,TRUE
20230228,Tuesday,TRUE
20230301,Wednesday,FALSE
20230302,Thursday,FALSE
20230303,Friday,FALSE
20230304,Saturday,TRUE
20230305,Sunday,TRUE
20230306,Monday,FALSE
20230307,Tuesday,FALSE
20230308,Wednesday,FALSE
20230309,Thursday,FALSE
20230310,Friday,FALSE
20230311,Saturday,TRUE
20230312,Sunday,TRUE
20230313,Monday,FALSE
20230314,Tuesday,FALSE
20230315,Wednesday,FALSE
20230316,Thursday,FALSE
20230317,Friday,FALSE
20230318,Saturday,TRUE
20230319,Sunday,TRUE
20230320,Monday,FALSE
20230321,Tuesday,FALSE
20230322,Wednesday,FALSE
20230323,Thursday,FALSE
20230324,Friday,FALSE
20230325,Saturday,FALSE
20230326,Sunday,TRUE
20230327,Monday,FALSE
20230328,Tuesday,FALSE
20230329,Wednesday,FALSE
20230330,Thursday,FALSE
20230331,Friday,FALSE
20230401,Saturday,TRUE
20230402,Sunday,TRUE
20230403,Monday,TRUE
20230404,Tuesday,TRUE
20230405,Wednesday,TRUE
20230406,Thursday,FALSE
20230407,Friday,FALSE
20230408,Saturday,TRUE
20230409,Sunday,TRUE
20230410,Monday,FALSE
20230411,Tuesday,FALSE
20230412,Wednesday,FALSE
20230413,Thursday,FALSE
20230414,Friday,FALSE
20230415,Saturday,TRUE
20230416,Sunday,TRUE
20230417,Monday,FALSE
20230418,Tuesday,FALSE
20230419,Wednesday,FALSE
20230420,Thursday,FALSE
20230421,Friday,FALSE
20230422,Saturday,TRUE
20230423,Sunday,TRUE
20230424,Monday,FALSE
20230425,Tuesday,FALSE
20230426,Wednesday,FALSE
20230427,Thursday,FALSE
20230428,Friday,FALSE
20230429,Saturday,TRUE
20230430,Sunday,TRUE
20230501,Monday,FALSE
20230502,Tuesday,FALSE
20230503,Wednesday,FALSE
20230504,Thursday,FALSE
20230505,Friday,FALSE
20230506,Saturday,TRUE
20230507,Sunday,TRUE
20230508,Monday,FALSE
20230509,Tuesday,FALSE
20230510,Wednesday,FALSE
20230511,Thursday,FALSE
20230512,Friday,FALSE
20230513,Saturday,TRUE
20230514,Sunday,TRUE
20230515,Monday,FALSE
20230516,Tuesday,FALSE
20230517,Wednesday,FALSE
20230518,Thursday,FALSE
20230519,Friday,FALSE
20230520,Saturday,TRUE
20230521,Sunday,TRUE
20230522,Monday,FALSE
20230523,Tuesday,FALSE
20230524,Wednesday,FALSE
20230525,Thursday,FALSE
20230526,Friday,FALSE
20230527,Saturday,TRUE
20230528,Sunday,TRUE
20230529,Monday,FALSE
20230530,Tuesday,FALSE
20230531,Wednesday,FALSE
20230601,Thursday,FALSE
20230602,Friday,FALSE
20230603,Saturday,TRUE
20230604,Sunday,TRUE
20230605,Monday,FALSE
20230606,Tuesday,FALSE
20230607,Wednesday,FALSE
20230608,Thursday,FALSE
20230609,Friday,FALSE
20230610,Saturday,TRUE
20230611,Sunday,TRUE
20230612,Monday,FALSE
20230613,Tuesday,FALSE
20230614,Wednesday,FALSE
20230615,Thursday,FALSE
20230616,Friday,FALSE
20230617,Saturday,FALSE
20230618,Sunday,TRUE
20230619,Monday,FALSE
20230620,Tuesday,FALSE
20230621,Wednesday,FALSE
20230622,Thursday,TRUE
20230623,Friday,TRUE
20230624,Saturday,TRUE
20230625,Sunday,TRUE
20230626,Monday,FALSE
20230627,Tuesday,FALSE
20230628,Wednesday,FALSE
20230629,Thursday,FALSE
20230630,Friday,FALSE
20230701,Saturday,TRUE
20230702,Sunday,TRUE
20230703,Monday,FALSE
20230704,Tuesday,FALSE
20230705,Wednesday,FALSE
20230706,Thursday,FALSE
20230707,Friday,FALSE
20230708,Saturday,TRUE
20230709,Sunday,TRUE
20230710,Monday,FALSE
20230711,Tuesday,FALSE
20230712,Wednesday,FALSE
20230713,Thursday,FALSE
20230714,Friday,FALSE
20230715,Saturday,TRUE
20230716,Sunday,TRUE
20230717,Monday,FALSE
20230718,Tuesday,FALSE
20230719,Wednesday,FALSE
20230720,Thursday,FALSE
20230721,Friday,FALSE
20230722,Saturday,TRUE
20230723,Sunday,TRUE
20230724,Monday,FALSE
20230725,Tuesday,FALSE
20230726,Wednesday,FALSE
20230727,Thursday,FALSE
20230728,Friday,FALSE
20230729,Saturday,TRUE
20230730,Sunday,TRUE
20230731,Monday,FALSE
20230801,Tuesday,FALSE
20230802,Wednesday,FALSE
20230803,Thursday,FALSE
20230804,Friday,FALSE
20230805,Saturday,TRUE
20230806,Sunday,TRUE
20230807,Monday,FALSE
20230808,Tuesday,FALSE
20230809,Wednesday,FALSE
20230810,Thursday,FALSE
20230811,Friday,FALSE
20230812,Saturday,TRUE
20230813,Sunday,TRUE
20230814,Monday,FALSE
20230815,Tuesday,FALSE
20230816,Wednesday,FALSE
20230817,Thursday,FALSE
20230818,Friday,FALSE
20230819,Saturday,TRUE
20230820,Sunday,TRUE
20230821,Monday,FALSE
20230822,Tuesday,FALSE
20230823,Wednesday,FALSE
20230824,Thursday,FALSE
20230825,Friday,FALSE
20230826,Saturday,TRUE
20230827,Sunday,TRUE
20230828,Monday,FALSE
20230829,Tuesday,FALSE
20230830,Wednesday,FALSE
20230831,Thursday,FALSE
20230901,Friday,FALSE
20230902,Saturday,TRUE
20230903,Sunday,TRUE
20230904,Monday,FALSE
20230905,Tuesday,FALSE
20230906,Wednesday,FALSE
20230907,Thursday,FALSE
20230908,Friday,FALSE
20230909,Saturday,TRUE
20230910,Sunday,TRUE
20230911,Monday,FALSE
20230912,Tuesday,FALSE
20230913,Wednesday,FALSE
20230914,Thursday,FALSE
20230915,Friday,FALSE
20230916,Saturday,TRUE
20230917,Sunday,TRUE
20230918,Monday,FALSE
20230919,Tuesday,FALSE
20230920,Wednesday,FALSE
20230921,Thursday,FALSE
20230922,Friday,FALSE
20230923,Saturday,FALSE
20230924,Sunday,TRUE
20230925,Monday,FALSE
20230926,Tuesday,FALSE
20230927,Wednesday,FALSE
20230928,Thursday,FALSE
20230929,Friday,TRUE
20230930,Saturday,TRUE
20231001,Sunday,TRUE
20231002,Monday,FALSE
20231003,Tuesday,FALSE
20231004,Wednesday,FALSE
20231005,Thursday,FALSE
20231006,Friday,FALSE
20231007,Saturday,TRUE
20231008,Sunday,TRUE
20231009,Monday,TRUE
20231010,Tuesday,TRUE
20231011,Wednesday,FALSE
20231012,Thursday,FALSE
20231013,Friday,FALSE
20231014,Saturday,TRUE
20231015,Sunday,TRUE
20231016,Monday,FALSE
20231017,Tuesday,FALSE
20231018,Wednesday,FALSE
20231019,Thursday,FALSE
20231020,Friday,FALSE
20231021,Saturday,TRUE
20231022,Sunday,TRUE
20231023,Monday,FALSE
20231024,Tuesday,FALSE
20231025,Wednesday,FALSE
20231026,Thursday,FALSE
20231027,Friday,FALSE
20231028,Saturday,TRUE
20231029,Sunday,TRUE
20231030,Monday,FALSE
20231031,Tuesday,FALSE
20231101,Wednesday,FALSE
20231102,Thursday,FALSE
20231103,Friday,FALSE
20231104,Saturday,TRUE
20231105,Sunday,TRUE
20231106,Monday,FALSE
20231107,Tuesday,FALSE
20231108,Wednesday,FALSE
20231109,Thursday,FALSE
20231110,Friday,FALSE
20231111,Saturday,TRUE
20231112,Sunday,TRUE
20231113,Monday,FALSE
20231114,Tuesday,FALSE
20231115,Wednesday,FALSE
20231116,Thursday,FALSE
20231117,Friday,FALSE
20231118,Saturday,TRUE
20231119,Sunday,TRUE
20231120,Monday,FALSE
20231121,Tuesday,FALSE
20231122,Wednesday,FALSE
20231123,Thursday,FALSE
20231124,Friday,FALSE
20231125,Saturday,TRUE
20231126,Sunday,TRUE
20231127,Monday,FALSE
20231128,Tuesday,FALSE
20231129,Wednesday,FALSE
20231130,Thursday,FALSE
20231201,Friday,FALSE
20231202,Saturday,TRUE
20231203,Sunday,TRUE
20231204,Monday,FALSE
20231205,Tuesday,FALSE
20231206,Wednesday,FALSE
20231207,Thursday,FALSE
20231208,Friday,FALSE
20231209,Saturday,TRUE
20231210,Sunday,TRUE
20231211,Monday,FALSE
20231212,Tuesday,FALSE
20231213,Wednesday,FALSE
20231214,Thursday,FALSE
20231215,Friday,FALSE
20231216,Saturday,TRUE
20231217,Sunday,TRUE
20231218,Monday,FALSE
20231219,Tuesday,FALSE
20231220,Wednesday,FALSE
20231221,Thursday,FALSE
20231222,Friday,FALSE
20231223,Saturday,TRUE
20231224,Sunday,TRUE
20231225,Monday,FALSE
20231226,Tuesday,FALSE
20231227,Wednesday,FALSE
20231228,Thursday,FALSE
20231229,Friday,FALSE
20231230,Saturday,TRUE
20231231,Sunday,TRUE
